Periode,TYPE_EENHEID,NIS_CODE_EENHEID,LABEL_EENHEID,AANTAL fieldLabel_nl,TOTAAL
202106,Gemeente,23039,Kapelle-Op-Den-Bos,4,9524
202106,Gemeente,23045,Londerzeel,6,19016
202106,Gemeente,23062,Overijse,6,25655
202106,Gemeente,23081,Steenokkerzeel,0,12372
202106,Gemeente,23101,Sint-Genesius-Rode,8,18626
202106,Gemeente,23104,Lennik,0,9190
202106,Gemeente,24011,Bierbeek,2,10194
202106,Gemeente,24045,Huldenberg,1,9981
202106,Gemeente,24066,Lubbeek,0,14728
202106,Gemeente,24086,Oud-Heverlee,3,11209
202106,Gemeente,24104,Tervuren,3,22861
202106,Gemeente,24135,Tielt-Winge,2,10877
202106,Gemeente,25005,Bevekom,1,7190
202106,Gemeente,25015,Kasteelbrakel,1,10532
202106,Gemeente,25031,Genepiën,4,15632
202106,Gemeente,25043,Incourt,0,5521
202106,Gemeente,25107,Villers-La-Ville,0,10891
202106,Gemeente,25124,Walhain,0,7448
202106,Gemeente,31003,Beernem,3,15845
202106,Gemeente,31006,Damme,3,10973
202106,Gemeente,31012,Jabbeke,2,14081
202106,Gemeente,31042,Zuienkerke,0,2750
202106,Gemeente,32003,Diksmuide,3,16815
202106,Gemeente,32010,Koekelare,0,8745
202106,Gemeente,32011,Kortemark,1,12743
202106,Gemeente,34002,Anzegem,5,14845
202106,Gemeente,34013,Harelbeke,11,28614
202106,Gemeente,34040,Waregem,9,38535
202106,Gemeente,34041,Wevelgem,2,31503
202106,Gemeente,36006,Hooglede,0,9925
202106,Gemeente,36019,Staden,3,11462
202106,Gemeente,37007,Meulebeke,4,10885
202106,Gemeente,37012,Ruiselede,1,5379
202106,Gemeente,37015,Tielt,0,20390
202106,Gemeente,37017,Wielsbeke,1,9851
202106,Gemeente,38008,De Panne,2,11232
202106,Gemeente,38014,Koksijde,11,21852
202106,Gemeente,41034,Lede,4,18980
202106,Gemeente,41082,Erpe-Mere,4,20286
202106,Gemeente,42008,Hamme,4,24980
202106,Gemeente,42010,Laarne,2,12371
202106,Gemeente,42025,Wetteren,23,26206
202106,Gemeente,43002,Assenede,1,14369
202106,Gemeente,43010,Maldegem,5,24114
202106,Gemeente,44043,Merelbeke,6,24779
202106,Gemeente,44084,Aalter (vanaf 2019),5,29242
202106,Gemeente,45065,Zwalm,1,8224
202106,Gemeente,46013,Kruibeke,9,16785
202106,Gemeente,51017,Elzele,0,6004
202106,Gemeente,53020,Dour,0,16528
202106,Gemeente,53065,Quaregnon,11,18940
202106,Gemeente,53070,Saint-Ghislain,3,23451
202106,Gemeente,71034,Leopoldsburg,8,16065
202106,Gemeente,71037,Lummen,0,15086
202106,Gemeente,71067,Zutendaal,1,7290
